# DEPTH(m)    AC_TDR_CORRECTED(us/ft)    RHO_TDR_CORRECTED(kg/m3)
743.9941 156.619746 2051.043895
744.0941 155.451154 2055.336868
744.1942 154.369858 2059.466578
744.2941 153.421676 2063.273835
744.3941 152.577584 2066.846896
744.4941 151.765796 2070.423920
744.5941 150.924209 2074.217293
744.6942 149.997565 2078.374677
744.7941 148.865533 2083.123877
744.8941 147.449966 2088.861194
744.9941 145.641467 2096.038784
745.0941 143.394926 2104.896273
745.1942 140.813417 2115.148908
745.2941 138.178785 2125.799678
745.3941 135.924044 2135.151351
745.4941 135.472332 2137.401087
745.5941 135.570577 2137.401087
745.6942 135.652814 2137.401087
745.7941 138.056969 2128.183739
745.8941 141.153055 2116.467131
745.9941 144.370129 2104.560497
746.0941 147.184160 2094.372291
746.1942 149.257145 2086.982417
746.2941 150.498085 2082.567062
746.3941 150.991998 2080.737276
746.4941 150.945859 2080.737276
746.5941 150.883677 2080.737276
746.6942 150.805408 2080.737276
746.7941 150.747421 2080.737276
746.8941 151.110598 2079.929703
746.9941 151.821410 2077.952216
747.0941 151.938362 2077.952216
747.1942 152.031495 2077.952216
747.2941 151.917723 2078.586069
747.3941 150.250069 2084.566649
747.4941 147.802587 2093.340374
747.5941 145.037247 2103.381867
747.6942 142.518026 2112.652538
747.7941 140.726961 2119.249596
747.8941 140.653073 2119.249596
747.9941 140.555298 2119.249596
748.0941 141.021664 2117.010007
748.1942 142.607090 2110.484924
748.2941 144.664731 2102.235873
748.3941 147.066610 2092.823574
748.4941 149.697541 2082.731578
748.5941 152.443614 2072.403342
748.6942 155.171687 2062.306222
748.7941 157.697034 2053.033226
748.8941 159.804417 2045.318597
748.9941 161.250121 2039.981512
749.0941 161.042600 2039.981512
749.1942 160.861555 2039.981512
749.2941 159.557157 2043.627334
749.3941 157.213382 2050.745677
749.4941 154.594091 2058.986935
749.5941 152.222358 2066.651509
749.6942 150.493167 2072.352119
749.7941 150.093558 2073.644871
749.8941 150.098504 2073.644871
749.9941 150.130002 2073.644871
750.0941 151.381057 2069.578483
750.1942 153.204720 2063.721707
750.2941 155.525899 2056.396624
750.3941 158.180567 2048.209886
750.4941 160.825852 2040.297251
750.5941 163.012695 2034.040923
750.6942 164.160214 2031.158420
750.7941 164.447871 2031.158420
750.8941 165.034696 2031.158420
750.9941 164.961337 2033.183336
751.0941 165.471245 2033.183336
751.1942 165.910617 2033.183336
751.2941 166.696037 2031.891055
751.3941 167.852577 2029.241903
751.4941 168.079556 2029.241903
751.5941 168.235804 2029.241903
751.6942 167.551338 2031.615776
751.7941 164.879097 2040.009919
751.8941 160.694153 2053.254859
751.9941 155.343471 2070.648301
752.0941 149.549058 2090.131490
752.1942 144.274755 2108.361879
752.2941 141.268853 2118.406456
752.3941 140.859424 2118.406456
752.4941 140.379082 2118.406456
752.5941 143.976008 2102.885621
752.6942 149.115567 2082.220741
752.7941 154.406217 2060.769389
752.8941 159.060597 2042.022333
752.9941 162.541759 2028.075477
753.0941 164.466307 2019.627791
753.1942 163.736921 2019.627791
753.2941 163.139287 2019.627791
753.3941 162.514272 2020.105363
753.4941 160.610368 2024.848510
753.5941 158.682850 2030.125088
753.6942 156.979726 2035.180954
753.7941 155.660025 2039.505209
753.8941 154.780616 2042.892383
753.9941 154.322645 2045.379357
754.0941 154.208060 2047.199947
754.1942 154.304199 2048.773832
754.2941 154.442432 2050.642000
754.3941 154.467627 2053.313547
754.4941 154.285590 2057.116715
754.5941 153.901939 2062.063008
754.6942 153.247539 2067.838729
754.7941 152.176487 2073.888140
754.8941 151.159762 2079.543876
754.9941 150.402094 2084.113270
755.0941 150.032147 2087.102689
755.1942 150.333100 2087.474336
755.2941 150.666571 2087.474336
755.3941 150.727633 2088.183151
755.4941 150.916570 2088.183151
